class,filepath
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP02_01f\img59.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP03_02\img139.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP04_02\img54.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP04_03\img41.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP04_04\img49.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP19_01\img49.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP19_03f\img96.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP19_05f\img416.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub01\EP19_06f\img71.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP01_11f\img91.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP02_04f\img79.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP03_02f\img81.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP06_01f\img121.jpg
repression,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP06_02f\img64.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP08_04\img69.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP09_01\img56.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP09_06f\img49.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP09_10\img36.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP11_01\img69.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP13_04\img51.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP14_01\img114.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub02\EP15_04\img66.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP01_2\img69.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP07_03\img46.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP07_04\img81.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP08_1\img44.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP09_03\img76.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP18_06\img81.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub03\EP19_08\img121.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub04\EP12_01f\img291.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub04\EP12_02f\img387.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub04\EP13_02f\img81.jpg
disgust,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub04\EP13_06f\img108.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub04\EP19_01f\img209.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP02_07\img66.jpg
happiness,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP03_01\img81.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP03_06\img66.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP03_07\img64.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP04_05\img44.jpg
surprise,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP04_06\img49.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP05_03\img71.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP05_09\img94.jpg
others,C:\Users\User\Documents\UKM\Project\Dataset\CASME2_RAW_selected\sub05\EP06_10\img116.jpg
